framework,control,policies_mapped
ISO/IEC 27001:2022,8.7,65
ISO/IEC 27001:2022,8.9,39
ISO/IEC 27001:2022,8.5,23
ISO/IEC 27001:2022,8.20,21
ISO/IEC 27001:2022,8.8,17
ISO/IEC 27001:2022,8.15,10
ISO/IEC 27001:2022,8.1,8
ISO/IEC 27001:2022,8.2,8
ISO/IEC 27001:2022,8.24,7
ISO/IEC 27001:2022,5.16,5
ISO/IEC 27001:2022,5.17,4
ISO/IEC 27001:2022,8.13,2
ISO/IEC 27001:2022,8.3,2
ISO/IEC 27001:2022,5.15,1
ISO/IEC 27001:2022,8.19,1
ISO/IEC 27001:2022,8.23,1
NIST SP 800-53 Rev 5,SI-3,53
NIST SP 800-53 Rev 5,CM-7,39
NIST SP 800-53 Rev 5,SI-16,20
NIST SP 800-53 Rev 5,SC-8,19
NIST SP 800-53 Rev 5,SI-7,18
NIST SP 800-53 Rev 5,SI-2,17
NIST SP 800-53 Rev 5,IA-5,13
NIST SP 800-53 Rev 5,IA-2,10
NIST SP 800-53 Rev 5,AU-2,9
NIST SP 800-53 Rev 5,AU-12,8
NIST SP 800-53 Rev 5,AC-6,7
NIST SP 800-53 Rev 5,SC-7,7
NIST SP 800-53 Rev 5,AC-11,6
NIST SP 800-53 Rev 5,AC-2,6
NIST SP 800-53 Rev 5,CM-11,6
NIST SP 800-53 Rev 5,SC-28,6
NIST SP 800-53 Rev 5,AC-17,5
NIST SP 800-53 Rev 5,SC-3,5
NIST SP 800-53 Rev 5,AC-3,4
NIST SP 800-53 Rev 5,MP-5,4
NIST SP 800-53 Rev 5,AC-4,3
NIST SP 800-53 Rev 5,CM-6,3
NIST SP 800-53 Rev 5,IA-3,3
NIST SP 800-53 Rev 5,MP-7,3
NIST SP 800-53 Rev 5,CP-9,2
NIST SP 800-53 Rev 5,IA-8,2
NIST SP 800-53 Rev 5,AC-7,1
NIST SP 800-53 Rev 5,AU-11,1
NIST SP 800-53 Rev 5,AU-9,1
NIST SP 800-53 Rev 5,CP-10,1
NIST SP 800-53 Rev 5,SC-13,1
